Свойство;Значение;Ввод
Синхронная частота вращения, об/мин;;0
Синхронная частота вращения, об/мин;;0
Количетво пар полюсов;;0
Высота оси вращения;;0
Диаметр станины у основания ребер;;0
Длина висающей части станины со стороны привода, м;;0
Длина висающей части станины со стороны вентилятора, м;;0
Зазор между ди фуззором и механическим щитом в месте крепления, м;;0
Количество ребер станины;;0
Высота ребра станины, м;;0
Толщина ребра станины, м;;0
Внешний диаметр вентилятора, м;;0
Внешний диаметр сердечника статора, м;;0
Внутренний диаметр сердечника статора, м;;0
Длина паза, м;;0
Число пазов статора, м;;0
Коэффициент шихтовки, м;;0
Большая ширина паза, м;;0
Меньшая ширина паза, м;;0
Высота паза, м;;0
Ширина шлица, м;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
;;0
